wn95b Shoulder Shoulder Hip Hip Tib.Epic. Tib.Epic. Knee Knee Ankle Ankle Heel Heel Ball Ball Toes Toes
Time "Mark01 X" "Mark01 Y" "Mark02 X" "Mark02 Y" "Mark03 X" "Mark03 Y" "Mark04 X" "Mark04 Y" "Mark05 X" "Mark05 Y" "Mark06 X" "Mark06 Y" "Mark07 X" "Mark07 Y" "Mark08 X" "Mark08 Y"
s cm cm cm cm cm cm cm cm cm cm cm cm cm cm cm cm
0.9152 1.762266 1.039319 1.720698 0.7904524 1.634535 0.4887798 1.579214 0.4164547 1.370318 0.1654907 1.302268 0.1509095 1.409547 4.70E-02 1.471409 3.40E-02
0.9295 1.78671 1.03962 1.748336 0.7889224 1.667058 0.4848907 1.610936 0.4139293 1.38865 0.1758212 1.320861 0.1697624 1.415022 5.35E-02 1.473869 3.32E-02
0.9438 1.810255 1.040425 1.775719 0.7877819 1.701414 0.4811646 1.644996 0.411462 1.410089 0.1865447 1.343458 0.1900505 1.422921 6.22E-02 1.477587 3.36E-02
0.9581 1.83244 1.041713 1.802151 0.7871308 1.736983 0.477898 1.680965 0.4092528 1.434606 0.1973229 1.369812 0.2106102 1.434202 7.28E-02 1.483669 3.53E-02
0.9724 1.85322 1.043443 1.827193 0.7870668 1.77323 0.475421 1.718476 0.4075246 1.462199 0.2077842 1.399468 0.2299718 1.450027 8.46E-02 1.493898 3.84E-02
0.9867 1.872792 1.045561 1.850625 0.7876746 1.809733 0.4740571 1.757196 0.4065131 1.492777 0.2175197 1.431761 0.2468156 1.471474 0.0965567 1.510305 4.27E-02
1.001 1.891405 1.047992 1.872407 0.7890084 1.846227 0.4740689 1.796762 0.4064218 1.526096 0.2260605 1.465985 0.2602029 1.499196 0.1075169 1.534458 4.78E-02
1.0153 1.909315 1.050651 1.89274 0.7910784 1.88263 0.475618 1.836788 0.4073707 1.561872 0.2328766 1.501677 0.269506 1.533268 0.1160562 1.566928 5.30E-02
1.0296 1.926766 1.053442 1.912032 0.7938445 1.918948 0.4787353 1.876916 0.4093727 1.599924 0.237432 1.538769 0.2742793 1.573265 0.1210419 1.607275 5.75E-02
1.0439 1.943954 1.056263 1.930745 0.7972203 1.955147 0.4833145 1.916859 0.4123427 1.640151 0.2392945 1.577435 0.274277 1.618471 0.121914 1.65448 6.05E-02
1.0582 1.961006 1.059019 1.949263 0.8010831 1.991079 0.4891433 1.956357 0.4161313 1.682456 0.2382296 1.617864 0.2695647 1.668074 0.1188492 1.707364 6.15E-02
1.0725 1.978007 1.061621 1.967906 0.8052759 2.026471 0.4959399 1.995128 0.4205488 1.726744 0.2342344 1.660158 0.2605147 1.721334 0.1127193 1.764785 6.02E-02
1.0868 1.995033 1.063982 1.98694 0.809603 2.060984 0.5033658 2.03289 0.4253689 1.772939 0.2275142 1.704382 0.2476337 1.777662 0.1046563 1.825715 5.72E-02
