Time	FHx	FHy	FHz	LEx	LEy	LEz	MEx	MEy	MEz	HFx	HFy	HFz	TTx	TTy	TTz	LMx	LMy	LMz	MMx	MMy	MMz	CAx	CAy	CAz	FMx	FMy	FMz	VMx	VMy	VMz	Fx	Fy	Fz	COPx	COPy	COPz	My
0.227	200.70734	788.91876	-91.77163	327.79391	439.00241	-48.87972	326.41653	438.73788	-173.98854	311.11462	402.79749	-42.40613	363.26233	381.51266	-99.91858	299.15509	62.5302	-78.48922	315.88196	73.80549	-159.81999	245.11313	42.66682	-125.52745	433.52518	39.18652	-127.38474	398.14691	30.60898	-61.91491	-98.16	714.5	-53.96	323.24	0	-106.67	-2707.17
0.233	208.77654	790.03235	-91.80859	330.65042	438.78992	-48.68019	329.41031	438.56934	-173.87219	313.44092	402.6965	-42.2811	365.66019	381.01129	-99.51782	299.17755	62.56348	-78.5294	316.02716	73.81474	-159.82848	245.13095	42.7597	-125.59457	433.47263	39.14712	-127.42905	398.12439	30.61767	-61.8327	-91.94	700.13	-50.52	326.23	0	-106.53	-2685.44
0.24	216.78694	791.1665	-91.97038	333.24728	438.60089	-48.44554	332.56512	438.44339	-173.69524	315.53665	402.6239	-42.1429	367.90265	380.54797	-98.99904	299.18579	62.59565	-78.54624	316.17712	73.85078	-159.80753	245.1503	42.8654	-125.65665	433.43283	39.12627	-127.41573	398.09912	30.60285	-61.72918	-85.89	682.81	-47.45	329.09	0	-106.27	-2344.48
0.247	224.73903	792.32776	-92.22957	335.61774	438.42981	-48.17754	335.86057	438.32492	-173.46484	317.44449	402.57892	-41.99233	370.01498	380.11737	-98.38793	299.18433	62.6273	-78.54147	316.32935	73.91161	-159.76016	245.17093	42.98433	-125.71036	433.40479	39.12161	-127.35389	398.0722	30.56818	-61.60665	-79.59	663.63	-45.64	332.13	0	-105.03	-2047.84
0.253	232.63457	793.51672	-92.55731	337.80347	438.2739	-47.88549	339.24869	438.1824	-173.1955	319.21204	402.55939	-41.83474	372.0192	379.71344	-97.72334	299.17749	62.65936	-78.51877	316.48215	73.99393	-159.69113	245.19321	43.1166	-125.7543	433.38745	39.13122	-127.25398	398.04492	30.51764	-61.46884	-73.35	641.19	-45.59	335.09	0	-103.8	-1887.4
0.26	240.47792	794.72815	-92.92522	339.853	438.13309	-47.58517	342.66162	437.99243	-172.90756	320.88989	402.56284	-41.67915	373.93433	379.32965	-97.05307	299.16953	62.69306	-78.48367	316.63498	74.09369	-159.6066	245.21799	43.26208	-125.78947	433.37985	39.15334	-127.12724	398.01889	30.45534	-61.32042	-68.14	623.84	-45.98	337.87	0	-102.99	-1648.49
0.267	248.27611	795.95184	-93.3063	341.81821	438.00851	-47.2965	346.02127	437.74301	-172.62556	322.52768	402.58688	-41.53677	375.7771	378.95932	-96.42789	299.16449	62.73005	-78.44309	316.78836	74.20642	-159.51366	245.2468	43.42054	-125.81918	433.38126	39.18632	-126.98508	397.99573	30.38528	-61.16645	-63.22	603.97	-46.02	341.25	0	-101.71	-1509.5
0.273	256.03836	797.17377	-93.67648	343.75021	437.9007	-47.0406	349.25095	437.43475	-172.37549	324.16983	402.62924	-41.41919	377.56305	378.59586	-95.8946	299.16638	62.77221	-78.40453	316.94366	74.32779	-159.41954	245.28137	43.5915	-125.84835	433.3916	39.22892	-126.83771	397.97693	30.31114	-61.01196	-57.93	584.47	-47.08	344.56	0	-100.35	-1500.77
0.28	263.77432	798.37653	-94.01694	345.69525	437.80792	-46.83673	352.28992	437.08084	-172.18118	325.85187	402.68716	-41.33672	379.30627	378.23343	-95.49	299.17902	62.82157	-78.37513	317.10263	74.45382	-159.33095	245.32346	43.77419	-125.88274	433.41226	39.28089	-126.69254	397.96365	30.23619	-60.8615	-52.74	566.41	-46.65	347.68	0	-99.07	-1457.15
0.287	271.49161	799.54047	-94.31607	347.69107	437.7254	-46.69983	355.10172	436.70309	-172.06068	327.59781	402.75699	-41.29692	381.01813	377.86703	-95.23701	299.20667	62.88027	-78.3607	317.26715	74.58114	-159.25327	245.37451	43.96761	-125.92822	433.44586	39.34303	-126.55334	397.95673	30.16313	-60.71893	-47.99	546.94	-46.96	351.89	0	-98.61	-1594.87
0.293	279.19467	800.64539	-94.56909	349.76373	437.64575	-46.63835	357.67346	436.32516	-172.02405	329.41876	402.83383	-41.30356	382.70676	377.49268	-95.14267	299.25345	62.95053	-78.36498	317.43903	74.70692	-159.19046	245.43555	44.17082	-125.99025	433.49594	39.41637	-126.42113	397.9563	30.09402	-60.58714	-44.77	530.69	-46.15	355.32	0	-97.52	-1477.77
0.3	286.88593	801.6731	-94.77655	351.92462	437.56006	-46.65324	360.01389	435.96622	-172.07314	331.31284	402.91235	-41.35607	384.37668	377.10748	-95.19809	299.32303	63.0344	-78.38966	317.62	74.82851	-159.14587	245.50665	44.38332	-126.07318	433.56586	39.50082	-126.29575	397.96216	30.03027	-60.4681	-41.92	514.84	-44.66	359.22	0	-95.86	-1385.22
0.307	294.56702	802.60773	-94.94303	354.17017	437.45956	-46.73781	362.15109	435.63751	-172.20222	333.26724	402.98721	-41.44966	386.03033	376.71017	-95.38016	299.4173	63.13303	-78.4352	317.81274	74.94324	-159.12283	245.58725	44.60519	-126.18022	433.65771	39.59404	-126.17737	397.97363	29.97261	-60.36287	-39.53	498.61	-43.85	363.37	0	-94.45	-1393.9
0.313	302.23914	803.43628	-95.07582	356.48416	437.33755	-46.87873	364.12857	435.3418	-172.3987	335.26181	403.05396	-41.57601	387.67087	376.3017	-95.65477	299.53589	63.24635	-78.50163	318.02023	75.04871	-159.12383	245.67722	44.83701	-126.31366	433.77271	39.69082	-126.06719	397.98962	29.92133	-60.27174	-38.1	489.73	-42.16	367.39	0	-93.45	-1169.67
0.32	309.90393	804.14746	-95.18547	358.84198	437.19061	-47.05801	365.9993	435.07443	-172.64369	337.2739	403.1091	-41.72437	389.30478	375.88559	-95.98115	299.67664	63.37351	-78.58856	318.24542	75.14326	-159.14951	245.77722	45.08002	-126.47456	433.91083	39.78407	-125.96822	398.00897	29.87628	-60.19439	-36.3	480.5	-40.68	370.77	0	-92.91	-1037.85
0.327	317.56375	804.73169	-95.28411	361.21634	437.01907	-47.25546	367.82095	434.8255	-172.91389	339.28336	403.15067	-41.88306	390.94324	375.46762	-96.31721	299.83618	63.51374	-78.69508	318.49149	75.22589	-159.19865	245.88779	45.33633	-126.66216	434.07141	39.86691	-125.8848	398.03058	29.83709	-60.13018	-34.59	474.97	-39.73	375.29	0	-92.27	-925.22
0.333	325.22168	805.18091	-95.3835	363.58325	436.82608	-47.45129	369.64932	434.58212	-173.18538	341.27634	403.17792	-42.04102	392.59927	375.05408	-96.62592	300.01038	63.66687	-78.81972	318.76114	75.29649	-159.26836	246.00885	45.60876	-126.87363	434.25217	39.93425	-125.82091	398.05334	29.80324	-60.07831	-32.14	470.17	-38.14	377.87	0	-91.29	-828.47
0.34	332.88074	805.48883	-95.49359	365.92569	436.61612	-47.62829	371.53232	434.33105	-173.43733	343.24673	403.19168	-42.18916	394.28156	374.64917	-96.88163	300.19446	63.83348	-78.96072	319.05585	75.35611	-159.35448	246.14001	45.90059	-127.10468	434.44809	39.98281	-125.77846	398.07666	29.77412	-60.03799	-29.59	467.97	-37.29	380.97	0	-90.69	-720.48
0.347	340.54251	805.65161	-95.62253	368.23538	436.39429	-47.77358	373.50668	434.06082	-173.65378	345.19641	403.19391	-42.32137	395.99115	374.25375	-97.07331	300.38391	64.01455	-79.11614	319.3761	75.4073	-159.45273	246.28043	46.2151	-127.35051	434.65118	40.01058	-125.75705	398.09991	29.74908	-60.00867	-26.95	467.95	-36.54	384.06	0	-90.33	-430.57
0.353	348.20718	805.66895	-95.77695	370.51224	436.16565	-47.87946	375.59622	433.76361	-173.8241	347.13403	403.1875	-42.43486	397.72421	373.8671	-97.20238	300.57581	64.2108	-79.28416	319.72183	75.45415	-159.55963	246.42905	46.55499	-127.60735	434.85196	40.01648	-125.75456	398.1228	29.7275	-59.99001	-24.4	469.8	-36.43	387.14	0	-89.79	-204.52
0.36	355.87463	805.54327	-95.96155	372.76321	435.93481	-47.94347	377.8121	433.43607	-173.94313	349.07251	403.17572	-42.52984	399.47729	373.48868	-97.27874	300.76917	64.42233	-79.46323	320.09274	75.50198	-159.67241	246.58502	46.92187	-127.8735	435.04248	40.00062	-125.76816	398.14478	29.70872	-59.98186	-22.13	470.91	-36.79	389.8	0	-89.81	-273.46
0.367	363.54532	805.28015	-96.17894	375.00101	435.70541	-47.96785	380.1539	433.07977	-174.01115	351.02649	403.16214	-42.60881	401.24881	373.11813	-97.3175	300.96515	64.64861	-79.65224	320.4874	75.55679	-159.78896	246.74728	47.3164	-128.1499	435.21774	39.96439	-125.79503	398.16516	29.69218	-59.98428	-20.35	475.69	-37.34	391.87	0	-90	-83.91
0.373	371.22058	804.88757	-96.42947	377.24197	435.47964	-47.95852	382.61179	432.70071	-174.03333	353.01028	403.1503	-42.67582	403.03854	372.75519	-97.33627	301.16595	64.88895	-79.85056	320.90121	75.62469	-159.90903	246.91406	47.7392	-128.43942	435.37558	39.91016	-125.83266	398.18329	29.67742	-59.99734	-18.56	478.27	-37.41	395.02	0	-89.05	158.23
0.38	378.90277	804.37543	-96.71101	379.50467	435.25827	-47.92387	385.16946	432.30804	-174.01898	355.03683	403.14337	-42.736	404.84784	372.3992	-97.35263	301.37366	65.1431	-80.05804	321.32556	75.71129	-160.03589	247.08264	48.1916	-128.74445	435.5162	39.84105	-125.87876	398.19812	29.66414	-60.02119	-17.14	482.69	-38.23	397.92	0	-89.34	330.83
0.387	386.59482	803.75372	-97.01991	381.80759	435.04108	-47.87384	387.80734	431.91284	-173.98093	357.11743	403.1441	-42.79517	406.68005	372.04901	-97.38214	301.58899	65.41162	-80.27505	321.75027	75.82072	-160.1759	247.25006	48.67522	-129.06505	435.64163	39.76089	-125.93086	398.20831	29.65226	-60.0559	-15.25	486.38	-38.76	400.96	0	-89.14	384.81
0.393	394.29858	803.03217	-97.35218	384.16788	434.8277	-47.81917	390.50546	431.52679	-173.93452	359.2612	403.15466	-42.85952	408.54141	371.70282	-97.43672	301.81165	65.6958	-80.50227	322.16705	75.95534	-160.33527	247.41431	49.19141	-129.39975	435.75519	39.67401	-125.98607	398.21259	29.64191	-60.10143	-14.39	491.89	-39.77	403.84	0	-89.15	564.38
0.4	402.0152	802.2196	-97.70399	386.60095	434.61798	-47.77098	393.24594	431.16119	-173.89639	361.47537	403.17682	-42.93551	410.44232	371.35858	-97.52312	302.04041	65.99757	-80.74056	322.57162	76.11612	-160.51743	247.57462	49.74109	-129.74692	435.86072	39.58458	-126.04156	398.20978	29.63332	-60.15772	-12.5	501.11	-40.67	405.77	0	-89.86	689.8
0.407	409.74585	801.32397	-98.07174	389.121	434.41171	-47.74017	396.01633	430.8262	-173.88231	363.76608	403.21149	-43.02972	412.39825	371.01379	-97.64124	302.27325	66.3193	-80.99069	322.96317	76.30328	-160.7235	247.73172	50.32482	-130.10519	435.96176	39.49578	-126.09533	398.19922	29.62666	-60.22473	-10.99	507.7	-41.95	408.5	0	-89.72	861.67
0.413	417.49219	800.35278	-98.45243	391.74112	434.20807	-47.73672	398.81204	430.52972	-173.90552	366.13956	403.25815	-43.14878	414.42966	370.66553	-97.78342	302.50873	66.66326	-81.25307	323.34286	76.51659	-160.95331	247.88806	50.94286	-130.47321	436.06122	39.40931	-126.14658	398.18042	29.62189	-60.30246	-8.16	517.31	-43.22	410.27	0	-90.23	987.2
0.42	425.25705	799.31317	-98.84444	394.47433	434.00464	-47.76879	401.63736	430.2764	-173.97604	368.60306	403.31445	-43.29913	416.55942	370.31003	-97.93636	302.74738	67.03119	-81.52757	323.71323	76.75548	-161.20581	248.04709	51.59553	-130.84903	436.16107	39.32535	-126.19572	398.1535	29.61871	-60.39084	-5.62	524.66	-44.68	412.76	0	-89.85	1016.09
0.427	433.04379	798.21216	-99.24854	397.33295	433.79718	-47.84225	404.50562	430.0661	-174.10016	371.16562	403.37613	-43.48649	418.8096	369.94278	-98.0855	302.99115	67.42435	-81.81313	324.07788	77.01923	-161.47873	248.21207	52.28381	-131.22948	436.26178	39.24283	-126.24437	398.11938	29.61657	-60.48951	-2.04	533.88	-46.62	414.38	0	-90.82	1160.72
0.433	440.85614	797.05627	-99.66767	400.32864	433.57983	-47.96034	407.43845	429.89276	-174.28004	373.83801	403.43762	-43.71514	421.19882	369.55829	-98.21961	303.24255	67.84418	-82.10725	324.44073	77.30715	-161.76834	248.38556	53.0097	-131.60962	436.36185	39.16019	-126.29482	398.07922	29.61478	-60.5975	1.26	546.06	-48.08	416.4	0	-92.09	1184.36
