Time	FHx	FHy	FHz	LEx	LEy	LEz	MEx	MEy	MEz	HFx	HFy	HFz	TTx	TTy	TTz	LMx	LMy	LMz	MMx	MMy	MMz	CAx	CAy	CAz	FMx	FMy	FMz	VMx	VMy	VMz	Fx	Fy	Fz	COPx	COPy	COPz	My
0.227	217.38383	818.75336	-381.00385	324.5202	474.69388	-195.8894	236.33647	445.29175	-365.81567	326.76855	407.79123	-199.93929	381.79538	413.33118	-244.46364	320.30185	61.46745	-249.892	352.59143	81.7532	-327.06467	275.50665	37.44207	-296.62244	484.57184	37.73967	-279.39679	442.12415	30.02007	-211.02559	-61.44	712.28	-44.44	350.4	0	-277.36	1906.33
0.233	224.70114	819.92743	-380.22495	326.90247	474.80301	-195.43185	252.53938	445.97171	-364.20819	328.54803	407.85059	-199.58505	383.66525	413.02594	-244.13072	320.25562	61.49965	-249.82813	352.54724	81.82007	-327.00229	275.4285	37.47472	-296.54303	484.52936	37.73966	-279.46405	442.08575	30.00757	-210.99542	-55.76	708.25	-44.71	351.62	0	-276.83	1965.93
0.24	231.95773	821.10858	-379.56512	329.26196	474.90424	-195.07649	268.60858	447.04657	-362.54556	330.29779	407.91223	-199.33162	385.48776	412.73389	-243.89696	320.23181	61.53936	-249.78464	352.52136	81.87711	-326.96393	275.36957	37.52203	-296.47504	484.51007	37.71526	-279.54721	442.06091	29.99669	-210.98308	-51.4	698.69	-44.88	353.32	0	-276.57	1848.55
0.247	239.16473	822.30212	-379.01242	331.61023	474.99548	-194.81445	284.57141	448.46939	-360.8551	332.03961	407.97583	-199.1709	387.28326	412.45007	-243.75397	320.23157	61.58739	-249.76237	352.51526	81.92249	-326.9502	275.33032	37.58459	-296.42038	484.51468	37.66708	-279.64667	442.04953	29.98869	-210.98647	-47.31	690.59	-44.29	355.42	0	-275.92	1746.38
0.253	246.33147	823.51001	-378.55261	333.95633	475.07501	-194.6347	300.45642	450.1871	-359.15887	333.79214	408.04089	-199.0927	389.06775	412.16989	-243.6945	320.25482	61.64414	-249.76079	352.52951	81.95566	-326.96024	275.31064	37.66281	-296.37985	484.54297	37.59687	-279.76166	442.05087	29.98415	-211.00288	-42.57	679.16	-42.96	357.28	0	-275.55	1641.43
0.26	253.4659	824.72998	-378.16937	336.30789	475.142	-194.52463	316.2876	452.14636	-357.47269	335.57001	408.10693	-199.08482	390.85379	411.8894	-243.71103	320.30069	61.70971	-249.77815	352.56445	81.97746	-326.99155	275.30963	37.75702	-296.35309	484.59415	37.50724	-279.89017	442.0639	29.98276	-211.02888	-38.96	669.97	-41.43	359.05	0	-274.83	1579.22
0.267	260.57523	825.95532	-377.84534	338.67255	475.19608	-194.47025	332.07861	454.29852	-355.80695	337.38318	408.17331	-199.13348	392.65161	411.60547	-243.79366	320.36755	61.7841	-249.81178	352.62024	81.99004	-327.04028	275.32568	37.86742	-296.33847	484.66675	37.40142	-280.02905	442.08734	29.98341	-211.06023	-35.96	657.41	-39.11	361.38	0	-274.33	1496.63
0.273	267.66589	827.17621	-377.56265	341.05737	475.23743	-194.45688	347.82825	456.60303	-354.16882	339.23669	408.23929	-199.22371	394.4693	411.31552	-243.92941	320.45331	61.86721	-249.85831	352.69696	81.99655	-327.10156	275.35663	37.99413	-296.33334	484.7587	37.28314	-280.17401	442.11957	29.98429	-211.09209	-32.92	644.5	-37.31	363.73	0	-273.5	1355.92
0.28	274.7438	828.38037	-377.30402	343.46832	475.26682	-194.46962	363.51782	459.02747	-352.56519	341.13141	408.30402	-199.34003	396.31195	411.01718	-244.10255	320.55536	61.95878	-249.914	352.79474	82.00067	-327.17001	275.39963	38.13691	-296.33453	484.86758	37.15641	-280.31998	442.15872	29.98323	-211.11932	-30.33	631.63	-34.37	366.83	0	-273.14	1266.82
0.287	281.81424	829.55408	-377.05255	345.90991	475.28506	-194.49423	379.11511	461.54681	-351.00385	343.06519	408.36636	-199.46732	398.18176	410.70828	-244.29565	320.67102	62.05834	-249.97522	352.91379	82.00614	-327.24026	275.45215	38.29498	-296.33994	484.99042	37.02529	-280.46146	442.20288	29.97792	-211.13696	-27.94	620.19	-32.29	369.6	0	-272.43	1244.74
