t(s),m1_X (m),m1_Y (m),m1_Z(m),m2_X (m),m2_Y (m),m2_Z(m),m3_X (m),m3_Y (m),m3_Z(m)
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.238856608935094833e-01,7.152541966560237163e-02,-4.790996319834088801e-01,2.068681513417910400e-01,1.194353828639432569e-01,-4.504894641171679481e-01
1.010000000000000009e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.226413364810354095e-01,7.080700863110124532e-02,-4.795262976259598298e-01,2.056977275863911547e-01,1.187596383936972283e-01,-4.512034941735193483e-01
1.020000000000000018e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.214346665100010519e-01,7.011033739850151825e-02,-4.799355814684644894e-01,2.045619476563503292e-01,1.181038955453479616e-01,-4.518914465090638766e-01
1.030000000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.202897724092196891e-01,6.944933248122178715e-02,-4.803198526728317819e-01,2.034836112805539221e-01,1.174813177485049542e-01,-4.525401196803430781e-01
1.040000000000000036e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.192291453888252029e-01,6.883697918548724315e-02,-4.806723220515897177e-01,2.024840337473715612e-01,1.169042113906462177e-01,-4.531375303773947927e-01
1.050000000000000044e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.182728608892551769e-01,6.828486807223861643e-02,-4.809872214200995311e-01,2.015822914183545700e-01,1.163835902142485723e-01,-4.536732741912040678e-01
1.060000000000000053e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.174378760982119213e-01,6.780278937836055342e-02,-4.812599370507114060e-01,2.007945423601351087e-01,1.159287830834316857e-01,-4.541388212993671680e-01
1.070000000000000062e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.167374372899167984e-01,6.739839084384049994e-02,-4.814871001871635636e-01,2.001334493612341725e-01,1.155471008625568452e-01,-4.545277438496273525e-01
1.080000000000000071e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.161806197501029786e-01,6.707691208733948529e-02,-4.816666393464564266e-01,1.996077289160047008e-01,1.152435760219851224e-01,-4.548358745115206325e-01
1.090000000000000080e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.157720180482970929e-01,6.684100578481051713e-02,-4.817977996864449275e-01,1.992218448514786189e-01,1.150207857534550071e-01,-4.550613973725207151e-01
1.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.155115986329962319e-01,6.669065256528436403e-02,-4.818811341416741056e-01,1.989758593872255621e-01,1.148787659794517635e-01,-4.552048731155603489e-01
1.110000000000000098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.153947204204415350e-01,6.662317289780350649e-02,-4.819184695901553850e-01,1.988654478640401457e-01,1.148150198568190505e-01,-4.552692004310339713e-01
